customer_id,signup_date,acquisition_channel,acquisition_month,acquisition_campaign_id,region,device_type,first_order_date,customer_status,date_of_birth,gender
1,2021-01-13,Influencer,Jan-21,CAMP_00004,Tier2,Mobile,2021-01-14,Inactive,1969-05-02,F
2,2021-01-30,Organic,Jan-21,CAMP_00002,East,Mobile,2021-02-15,Inactive,1969-02-15,F
3,2021-01-04,Referral,Jan-21,CAMP_00003,North,Mobile,2021-01-06,Active,1983-03-16,M
4,2021-01-11,Paid Ads,Jan-21,CAMP_00001,North,Web,2021-01-27,Inactive,1988-03-27,F
5,2021-01-21,Organic,Jan-21,CAMP_00002,West,Web,2021-01-22,Inactive,1981-12-07,F
6,2021-01-16,Influencer,Jan-21,CAMP_00004,West,Web,2021-01-20,Inactive,1983-10-13,M
7,2021-01-11,Referral,Jan-21,CAMP_00003,West,Web,2021-01-14,Inactive,1995-01-18,M
8,2021-01-25,Influencer,Jan-21,CAMP_00004,Tier2,Mobile,,Inactive,1970-06-11,F
9,2021-01-16,Referral,Jan-21,CAMP_00003,West,Mobile,2021-01-17,Inactive,1978-06-03,M
10,2021-01-05,Paid Ads,Jan-21,CAMP_00001,East,Mobile,2021-01-07,Inactive,1992-04-30,F
11,2021-01-24,Organic,Jan-21,CAMP_00002,North,Web,,Active,1981-10-10,F
12,2021-01-01,Organic,Jan-21,CAMP_00002,East,Mobile,2021-01-04,Inactive,1976-02-12,M
13,2021-01-28,Organic,Jan-21,CAMP_00002,Tier2,Mobile,2021-01-31,Active,1974-10-24,F
14,2021-01-11,Paid Ads,Jan-21,CAMP_00001,West,Mobile,2021-01-13,Inactive,1994-12-19,M
15,2021-01-31,Organic,Jan-21,CAMP_00002,North,Mobile,,Active,1973-06-14,F
16,2021-01-11,Referral,Jan-21,CAMP_00003,Tier2,Web,2021-01-13,Inactive,1980-06-16,F
17,2021-01-15,Influencer,Jan-21,CAMP_00004,South,Web,2021-01-28,Inactive,1972-12-24,M
