order_id,customer_id,order_date,product_category,quantity,revenue,discount,cost_of_goods,shipping_cost,delivery_region_cost,payment_processing_fee,order_status,refund_amount,net_revenue,gross_margin
1,1,14-01-2021,Beauty,2,452.8,79.01,194.08,155.38,41.77,9.4,Completed,0,373.79,24.33
2,1,13-03-2021,Beauty,1,906.53,213.31,455.44,197.92,56.92,25.79,Completed,0,693.22,39.86
3,2,15-02-2021,Home,1,757.99,44.04,329.8,65.25,23.52,18.62,Completed,0,713.95,318.9
4,2,23-06-2021,Fashion,1,842.83,23.94,358.47,87.22,22.06,17.27,Completed,0,818.89,373.2
5,2,10-08-2021,Electronics,1,232.13,22.93,133.2,111.19,25.22,6.21,Completed,0,209.2,-35.19
6,2,10-10-2021,Home,1,1345.34,133.32,691.12,104.97,34.26,36.45,Completed,0,1212.02,415.93
7,2,25-10-2021,Beauty,1,1553.21,155.01,779.97,60.08,22.96,31.27,Completed,0,1398.2,558.15
8,2,26-11-2021,Fashion,1,997.69,100.17,492,86.94,21.55,24.35,Completed,0,897.52,318.58
9,2,05-12-2021,Home,2,926.03,92.14,519.05,84.45,20.66,26.89,Completed,0,833.89,230.39
10,3,06-01-2021,Grocery,1,512.24,84.88,340.66,116.03,45.2,12.91,Cancelled,0,427.36,-29.33
11,3,24-03-2021,Grocery,1,1153.16,60.43,726.36,103.82,22.27,25.43,Completed,0,1092.73,262.55
12,3,04-04-2021,Grocery,1,1236.35,166.29,747.9,66.41,21.65,25.29,Completed,0,1070.06,255.75
13,3,21-04-2021,Home,1,1631.47,235.09,881.84,111.84,29.88,48.68,Completed,0,1396.38,402.7
14,4,27-01-2021,Fashion,1,1106.5,387.94,536.49,67.36,26.24,29.7,Completed,0,718.56,114.71
15,5,22-01-2021,Beauty,1,570.22,12.37,265.53,108.16,37.18,14.21,Completed,0,557.85,184.16
16,5,07-02-2021,Home,1,5830.45,165.58,2678.75,85.69,18.29,167.52,Completed,0,5664.87,2900.43
17,5,23-03-2021,Electronics,1,994.77,109.03,695.59,119.82,30.02,23.72,Completed,0,885.74,70.33
18,5,29-03-2021,Home,3,993.59,67.07,563.59,71.03,28.03,24.3,Completed,0,926.52,291.9
19,5,16-04-2021,Home,2,3954.31,175.57,2065.78,143.79,55.98,101.53,Completed,0,3778.74,1569.17
20,5,27-04-2021,Electronics,1,748.53,7.49,451.55,137.68,42.43,15.83,Completed,0,741.04,151.81
21,5,06-05-2021,Beauty,3,655.57,7.93,288.24,86,21.43,17.62,Completed,0,647.64,273.4
22,5,03-06-2021,Fashion,2,5064.09,270.42,1912.16,76.59,16.86,117.65,Completed,0,4793.67,2804.92
23,5,10-06-2021,Fashion,1,2229.62,144.48,816.04,134.29,30.58,65.94,Returned,2085.14,0,-950.33
24,5,15-06-2021,Home,1,3021.54,235.68,1691.77,125.33,49.21,76.7,Completed,0,2785.86,968.76
25,5,23-06-2021,Grocery,1,3747.07,127.03,2549.38,76.18,21.16,105.27,Completed,0,3620.04,994.48
